Nombre,CAL,P,G,C,showAmountInTable,showInShoppingList,weightOfTheUnit,orderShopping,PP,PG,PC,VALIDATION
Harina de trigo,346.18,10.3,1.31,73.11,TRUE,TRUE,1,060 - Harina,11.90%,3.41%,84.48%,OK
Hierbas provenzales,0,0,0,0,FALSE,FALSE,1,000 - NONE,,,,
Hoja verde,19,11.425,7.8275,18.5025,TRUE,TRUE,1,030 - Hoja verde-Cherry-Aguacate-Verduras micro,240.53%,370.78%,389.53%,9.0083
Huevo crudo entero,150,12.5,11.1,0,TRUE,TRUE,60,150 - Huevos-Caldo-Aperitivos-Tortitas trigo,33.33%,66.60%,0.00%,OK
Jamón ibérico,346.8,32,24,0.7,TRUE,TRUE,1,180 - Charcutería,36.91%,62.28%,0.81%,OK
Jamón York,102,19,2.5,0.9,TRUE,TRUE,1,180 - Charcutería,74.51%,22.06%,3.53%,OK
Jengibre,0,0,0,0,FALSE,FALSE,1,000 - NONE,,,,
Judia verde,39,1.9,0.1,6.1,TRUE,TRUE,1,040 - Verdura fresca- Champiñones,19.49%,2.31%,62.56%,-0.1564
Langostino crudo pelado congelado (Pescanova),63,14.8,0.4,0,TRUE,TRUE,1,080 - Pescado congelado,93.97%,5.71%,0.00%,OK
Laurel,0,0,0,0,FALSE,FALSE,1,000 - NONE,,,,
Leche desnatada sin lactosa (Pascual),36,3.4,0.3,5,TRUE,TRUE,1,220 - Leche-Papel higiénico-Servilletas,37.78%,7.50%,55.56%,OK
Lechuga iceberg,19,0.9,0.1,3,TRUE,TRUE,1,030 - Hoja verde-Cherry-Aguacate-Verduras micro,18.95%,4.74%,63.16%,-0.1316
Lechuga romana,16,1.2,0.3,1.2,TRUE,TRUE,1,030 - Hoja verde-Cherry-Aguacate-Verduras micro,30.00%,16.88%,30.00%,-0.2313
Lentejas cocidas,115,9,0.4,20,TRUE,TRUE,1,160 - Legumbres-Arroz-Pasta,31.30%,3.13%,69.57%,OK
Lomo de cerdo magro,152,18,8.9,0,TRUE,TRUE,1,170 - Carne fresca,47.37%,52.70%,0.00%,OK
Lomo embuchado,199,38,5,0.5,TRUE,TRUE,1,180 - Charcutería,76.38%,22.61%,1.01%,OK
Maicena,350,0.3,0.1,87,TRUE,TRUE,1,060 - Harina,0.34%,0.26%,99.43%,OK
Maíz dulce (Hacendado),82,2.5,1.4,14,TRUE,TRUE,1,120 - Latas conserva,12.20%,15.37%,68.29%,OK
Mandarina,43,0.8,0,9,TRUE,TRUE,60,020 - Fruta,7.44%,0.00%,83.72%,-0.0884
Mango,65,0.5,0.3,15,TRUE,TRUE,1,020 - Fruta,3.08%,4.15%,92.31%,OK
Mantequilla,733,0.7,82,0.5,TRUE,TRUE,1,240 - Yogures-Café-Galletas,0.38%,100.68%,0.27%,OK
Mantequilla sin sal (Hacendado),743,0.5,82,0.8,TRUE,TRUE,1,240 - Yogures-Café-Galletas,0.27%,99.33%,0.43%,OK
Manzana,50,0.3,0,12,TRUE,TRUE,1,020 - Fruta,2.40%,0.00%,96.00%,OK
Masa de pizza,270,8.6,4.2,49.5,TRUE,TRUE,1,210 - Platos preparados,12.74%,14.00%,73.33%,OK
Merluza congelada,82,18,1.2,0.2,TRUE,TRUE,1,080 - Pescado congelado,87.80%,13.17%,0.98%,OK
Miel,333,0.4,0.1,82.8,TRUE,FALSE,1,270 - Pan envasado-Mermelada-Miel,0.48%,0.27%,99.46%,OK
Muesli crunchy 0 azucar añadido (Hacendado),409,9.3,13,64,TRUE,TRUE,1,250 - Cereales,9.10%,28.61%,62.59%,OK
Muslo de pollo,209,16,16,0,TRUE,TRUE,1,170 - Carne fresca,30.62%,68.90%,0.00%,OK
